[Thu Mar 26 12:56:15.481436 2015] [core:error] [pid 5153] (13)Permission denied: [client 127.0.0.1:52643] AH00132: file permissions deny server access: /home/unseen/sites/wifi/web/js/jquery-2.1.3.min.js, referer: http://wifi.loc/main/list
[Thu Mar 26 12:56:43.301348 2015] [core:error] [pid 5144] (13)Permission denied: [client 127.0.0.1:52646] AH00132: file permissions deny server access: /home/unseen/sites/wifi/web/js/jquery-2.1.3.min.js
[Thu Mar 26 16:23:39.679075 2015] [:error] [pid 19700] [client 127.0.0.1:55883] PHP Fatal error:  Call to undefined method stdClass::formName() in /home/unseen/sites/wifi/vendor/yiisoft/yii2/helpers/BaseHtml.php on line 1931, referer: http://wifi.loc/main/list
[Thu Mar 26 16:23:53.304788 2015] [:error] [pid 22618] [client 127.0.0.1:55888] PHP Fatal error:  Call to undefined method stdClass::formName() in /home/unseen/sites/wifi/vendor/yiisoft/yii2/helpers/BaseHtml.php on line 1931, referer: http://wifi.loc/main/list
[Thu Mar 26 16:39:31.618335 2015] [:error] [pid 20195] [client 127.0.0.1:55950] PHP Fatal error:  Cannot redeclare class app\\models\\AddUsersForm in /home/unseen/sites/wifi/models/FileUpload.php on line 0, referer: http://wifi.loc/main/list
[Thu Mar 26 16:59:16.719728 2015] [:error] [pid 24528] [client 127.0.0.1:56265] PHP Fatal error:  Cannot use [] for reading in /home/unseen/sites/wifi/controllers/MainController.php on line 47, referer: http://wifi.loc/main/list
[Thu Mar 26 17:25:46.111312 2015] [:error] [pid 27184] [client 127.0.0.1:56574] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/unseen/sites/wifi/controllers/MainController.php on line 62, referer: http://wifi.loc/main/list
[Thu Mar 26 17:26:19.749353 2015] [:error] [pid 27164] [client 127.0.0.1:56577] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/unseen/sites/wifi/controllers/MainController.php on line 60, referer: http://wifi.loc/main/list
[Thu Mar 26 17:26:22.161628 2015] [:error] [pid 27784] [client 127.0.0.1:56579] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/unseen/sites/wifi/controllers/MainController.php on line 60
[Thu Mar 26 17:26:26.359613 2015] [:error] [pid 24850] [client 127.0.0.1:56581] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/unseen/sites/wifi/controllers/MainController.php on line 59
[Thu Mar 26 17:26:27.392788 2015] [:error] [pid 24908] [client 127.0.0.1:56582] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/unseen/sites/wifi/controllers/MainController.php on line 59
[Thu Mar 26 17:35:41.073954 2015] [:error] [pid 27910] [client 127.0.0.1:56735] PHP Parse error:  syntax error, unexpected end of file in /home/unseen/sites/wifi/views/main/index.php on line 66
[Thu Mar 26 18:46:29.998431 2015] [:error] [pid 31078] [client 127.0.0.1:57445] PHP Parse error:  syntax error, unexpected '?>' in /home/unseen/sites/wifi/views/main/index.php on line 86, referer: http://wifi.loc/main/list
[Fri Apr 03 18:37:37.460741 2015] [:error] [pid 31853] [client 127.0.0.1:42394] PHP Parse error:  syntax error, unexpected ':' in /home/unseen/sites/wifi/views/main/list.php on line 26, referer: http://wifi.loc/main/add
[Fri Apr 03 18:37:42.612061 2015] [:error] [pid 31850] [client 127.0.0.1:42397] PHP Parse error:  syntax error, unexpected ':' in /home/unseen/sites/wifi/views/main/list.php on line 26, referer: http://wifi.loc/main/add
[Tue Apr 07 15:05:16.564599 2015] [:error] [pid 10769] [client 127.0.0.1:52856] PHP Parse error:  syntax error, unexpected '}' in /home/unseen/sites/wifi/controllers/MainController.php on line 221, referer: http://wifi.loc/main/add
